race_season,driver_id,driver_fullname,num_races,wins,top_5,top_10,finish_2_5,finish_6_10,lead_lap_finishes,total_laps_led,total_laps,avg_starting_position,avg_finishing_position,avg_diff_laps,avg_diff_time_sec,avg_diff_time_min,pct_laps_led,team_name,num_accidents,most_likely_dnf_cause
2015,3873,Austin Dillon,36,0,1,5,1,4,36,39,10425,16.97222222222222,21.02777777777778,0.0,0.0,0.0,0.0037410071942446045,Richard Childress Racing,1,Electrical
2015,3883,Trevor Bayne,36,0,0,2,0,2,36,0,10425,27.916666666666668,25.805555555555557,0.0,0.0,0.0,0.0,RFK Racing,2,Accident
2015,3888,Ricky Stenhouse Jr,36,0,1,3,1,2,36,3,10425,23.583333333333332,24.27777777777778,0.0,0.0,0.0,0.00028776978417266187,RFK Racing,3,Accident
2015,3894,Jeffrey Earnhardt,2,0,0,0,0,0,2,0,700,42.0,37.5,0.0,0.0,0.0,0.0,GO FAS Racing,0,None
2015,3916,Matt DiBenedetto,35,0,2,2,0,0,35,2,10222,34.371428571428574,30.142857142857142,0.0,0.0,0.0,0.00019565642731363725,BK Racing,1,Accident
2015,3920,Derek White,1,0,0,0,0,0,1,0,301,42.0,39.0,0.0,0.0,0.0,0.0,Circle Sport Racing,0,None
2015,3928,Eddie MacDonald,1,0,0,0,0,0,1,0,301,41.0,37.0,0.0,0.0,0.0,0.0,GO FAS Racing,0,None
2015,3929,Danica Patrick,36,0,0,2,0,2,36,7,10425,22.444444444444443,23.47222222222222,0.0,0.0,0.0,0.000671462829736211,Stewart-Haas Racing,4,Accident
2015,3948,Alex Kennedy,13,0,0,0,0,0,13,0,4318,41.0,34.76923076923077,0.0,0.0,0.0,0.0,Circle Sport Racing,0,None
2015,3965,Will Kimmel III,2,0,0,0,0,0,2,0,536,41.5,38.5,0.0,0.0,0.0,0.0,GO FAS Racing,0,None
2015,3973,BJ McLeod,1,0,0,0,0,0,1,0,300,39.0,34.0,0.0,0.0,0.0,0.0,Circle Sport Racing,0,None
2015,3979,Cole Whitt,36,0,0,0,0,0,36,5,10425,35.0,28.72222222222222,0.0,0.0,0.0,0.00047961630695443646,Front Row Motorsports,2,Accident
2015,3984,Timmy Hill,16,0,4,4,0,0,16,0,4667,31.3125,29.4375,0.0,0.0,0.0,0.0,Premium Motorsports,0,Parked
2015,3989,Chris Buescher,6,0,0,0,0,0,6,0,1832,36.0,26.666666666666668,0.0,0.0,0.0,0.0,Front Row Motorsports,0,None
2015,4004,Joey Gase,4,0,1,1,0,0,4,0,1220,29.0,30.75,0.0,0.0,0.0,0.0,GO FAS Racing,2,Accident
2015,4013,Ty Dillon,5,0,0,0,0,0,5,0,1035,27.8,21.8,0.0,0.0,0.0,0.0,Circle Sport Racing,0,None
2015,4017,Kyle Fowler,1,0,0,0,0,0,1,0,500,40.0,41.0,0.0,0.0,0.0,0.0,GO FAS Racing,0,Brakes
2015,4018,Jeb Burton,36,0,8,8,0,0,36,0,10425,29.583333333333332,28.22222222222222,0.0,0.0,0.0,0.0,BK Racing,2,Accident
2015,4022,Tanner Berryhill,1,0,1,1,0,0,1,0,312,0.0,0.0,0.0,0.0,0.0,0.0,Identity Ventures Racing,0,None
2015,4023,Ryan Blaney,19,0,4,5,1,1,19,5,5157,12.210526315789474,21.31578947368421,0.0,0.0,0.0,0.0009695559433779329,Wood Brothers Racing,1,Engine
2015,4029,Ryan Ellis,1,0,0,0,0,0,1,0,219,42.0,40.0,0.0,0.0,0.0,0.0,Circle Sport Racing,0,None
2015,4030,Kyle Larson,35,0,2,10,2,8,35,115,9925,13.342857142857143,19.314285714285713,0.0,0.0,0.0,0.011586901763224182,Chip Ganassi Racing,5,Accident
2015,4038,Brett Moffitt,31,0,0,1,0,1,31,2,9638,33.806451612903224,30.451612903225808,0.0,0.0,0.0,0.00020751193193608634,Front Row Motorsports,1,Accident
2015,4045,Alex Bowman,36,0,1,1,0,0,36,4,10425,33.416666666666664,30.72222222222222,0.0,0.0,0.0,0.00038369304556354914,Premium Motorsports,2,Engine
2015,4059,Erik Jones,3,0,0,0,0,0,3,1,820,8.333333333333334,23.666666666666668,0.0,0.0,0.0,0.0012195121951219512,Joe Gibbs Racing,0,None
2015,4062,Chase Elliott,5,0,0,0,0,0,5,0,1831,24.2,26.2,0.0,0.0,0.0,0.0,Hendrick Motorsports,1,Accident
2015,4070,Ryan Preece,5,0,0,0,0,0,5,0,1620,40.0,37.0,0.0,0.0,0.0,0.0,Premium Motorsports,0,None
2016,34,Justin Allgaier,1,0,0,0,0,0,1,0,500,39.0,40.0,0.0,0.0,0.0,0.0,HScott Motorsports,1,Accident
2016,40,Aric Almirola,36,0,0,1,0,1,36,1,10523,23.88888888888889,23.305555555555557,0.0,0.0,0.0,9.502993442934525e-05,Legacy Motor Club,5,Accident
2016,243,Greg Biffle,36,0,1,3,1,2,36,42,10523,20.194444444444443,21.555555555555557,0.0,0.0,0.0,0.003991257246032501,RFK Racing,6,Accident
2016,339,Clint Bowyer,36,0,0,3,0,3,36,3,10523,30.694444444444443,23.61111111111111,0.0,0.0,0.0,0.00028508980328803573,Premium Motorsports,1,Accident
2016,453,Kurt Busch,36,1,9,21,8,12,36,238,10523,12.083333333333334,12.027777777777779,0.0,0.0,0.0,0.022617124394184167,Stewart-Haas Racing,2,Accident
2016,454,Kyle Busch,36,4,17,25,13,8,36,1379,10523,9.555555555555555,11.472222222222221,0.0,0.0,0.0,0.13104627957806708,Joe Gibbs Racing,4,Accident
